,gid,UF,nome,PIB,PIB_percapita
1513,3765.0,SÃO PAULO,Gastão Vidigal,37278.69921875,9052.62011719
1516,4650.0,SÃO PAULO,Mendonça,48696.28515625,11547.61035156
1518,5066.0,SÃO PAULO,Pedro de Toledo,70778.8984375,6902.56005859
1524,4805.0,SÃO PAULO,Santa Albertina,56413.41796875,11300.75976562
1533,684.0,SÃO PAULO,Adamantina,531913.5,15451.8203125
1536,4748.0,SÃO PAULO,Platina,49894.515625,14644.70996094
1540,4528.0,SÃO PAULO,Iguape,252515.78125,8231.96972656
1554,4268.0,SÃO PAULO,Colômbia,144238.203125,22732.58007812
1557,4774.0,SÃO PAULO,Redenção da Serra,36065.66015625,8496.03027344
1561,4750.0,SÃO PAULO,Pompéia,465391.53125,23075.74023438
1569,4269.0,SÃO PAULO,Conchal,369008.0625,15070.78027344
1571,4183.0,SÃO PAULO,Álvares Machado,199326.484375,8382.45996094
1580,4812.0,SÃO PAULO,Santa Ernestina,43545.33984375,7751.04003906
1583,4827.0,SÃO PAULO,Santo Antônio do Jardim,78237.4609375,13524.19042969
1586,4638.0,SÃO PAULO,Macaubal,84924.5390625,11069.41015625
1603,4360.0,SÃO PAULO,Vargem Grande do Sul,435658.78125,11125.09960938
1604,4644.0,SÃO PAULO,Marapoama,81859.9609375,29446.02929688
1616,4883.0,SÃO PAULO,Taubaté,8324691.0,30445.859375
1617,4672.0,SÃO PAULO,Motuca,68719.6796875,14649.25976562
1618,5089.0,SÃO PAULO,São Sebastião,3043796.25,41338.51171875
1628,4698.0,SÃO PAULO,Orlândia,787616.25,20984.08007812
1634,4539.0,SÃO PAULO,Iracemápolis,520704.3125,26431.68945312
1640,4242.0,SÃO PAULO,Cajati,472912.3125,16343.38964844
1645,4799.0,SÃO PAULO,Salmourão,53295.08203125,11151.9296875
1646,4836.0,SÃO PAULO,Santo Antônio do Pinhal,56594.77734375,8206.90039062
1650,4770.0,SÃO PAULO,Queluz,78831.6953125,7040.43017578
1664,4875.0,SÃO PAULO,Tapiratiba,161548.0625,13017.5703125
1669,4697.0,SÃO PAULO,Orindiúva,94819.8359375,17539.74023438
1672,4361.0,SÃO PAULO,Vera Cruz,95465.484375,9592.58984375
1677,4734.0,SÃO PAULO,Pilar do Sul,293537.84375,10315.86035156
1691,4348.0,SÃO PAULO,Turiúba,39628.15625,19425.5703125
1693,5081.0,SÃO PAULO,Ribeirão Pires,1631338.625,14564.08984375
1700,88.0,SÃO PAULO,Guapiaçu,389872.96875,21734.47070312
1702,4211.0,SÃO PAULO,Bananal,88336.4296875,8162.66992188
1703,1840.0,SÃO PAULO,Morungaba,232642.84375,17485.36914062
1717,4180.0,SÃO PAULO,Alfredo Marcondes,38104.7421875,9396.98046875
1721,765.0,SÃO PAULO,Serra Azul,73476.2578125,7259.77978516
1725,4707.0,SÃO PAULO,Palestina,137605.546875,12119.5703125
1732,4674.0,SÃO PAULO,Nantes,86357.6171875,32440.88085938
1733,5096.0,SÃO PAULO,Campos do Jordão,546444.5625,11750.23046875
1749,4354.0,SÃO PAULO,União Paulista,35924.9140625,23603.75
1755,4538.0,SÃO PAULO,Ipuã,204742.140625,12890.65039062
1764,4276.0,SÃO PAULO,Cosmorama,86788.875,12340.24023438
1768,4660.0,SÃO PAULO,Mirassolândia,34264.3203125,7794.43017578
1779,4852.0,SÃO PAULO,São Miguel Arcanjo,371031.375,11843.0703125
1784,4225.0,SÃO PAULO,Bocaina,175754.640625,15937.12988281
1788,5003.0,SÃO PAULO,Atibaia,2625614.75,20713.76953125
1803,4434.0,SÃO PAULO,Boracéia,89564.65625,20176.76953125
1807,5080.0,SÃO PAULO,Praia Grande,2780735.25,11142.95019531
1812,15.0,SÃO PAULO,Jardinópolis,487728.96875,13016.16992188
1815,4298.0,SÃO PAULO,Estrela d'Oeste,428017.0,47336.5390625
1819,4793.0,SÃO PAULO,Rubiácea,57313.17578125,21538.2109375
1828,4359.0,SÃO PAULO,Valparaíso,327024.03125,14525.36035156
1830,4179.0,SÃO PAULO,Agudos,753584.625,20824.16015625
1838,4347.0,SÃO PAULO,Tupi Paulista,151365.1875,10519.50976562
1842,4240.0,SÃO PAULO,Caiabu,32694.49609375,7914.43017578
1853,4575.0,SÃO PAULO,Itatinga,226146.0625,11849.41015625
1854,4784.0,SÃO PAULO,Ribeirão Grande,82653.4609375,11821.15039062
1860,4290.0,SÃO PAULO,Echaporã,75944.7265625,12172.58007812
1862,3789.0,SÃO PAULO,Ibirá,110655.3046875,9932.25976562
1881,1264.0,SÃO PAULO,Itupeva,1736231.125,40892.91015625
1886,4729.0,SÃO PAULO,Penápolis,890737.9375,14946.01953125
1909,4587.0,SÃO PAULO,João Ramalho,51556.1796875,11868.37011719
1938,2008.0,SÃO PAULO,Cubatão,5786553.0,44655.53125
1939,5076.0,SÃO PAULO,Peruíbe,614539.25,10653.1796875
1943,4676.0,SÃO PAULO,Natividade da Serra,45157.06640625,5884.41992188
1953,4782.0,SÃO PAULO,Ribeirão do Sul,56512.4609375,12119.33007812
1955,4687.0,SÃO PAULO,Nova Guataporanga,15150.56835938,6937.06982422
1968,1616.0,SÃO PAULO,Araçoiaba da Serra,259788.671875,9756.95019531
1985,4363.0,SÃO PAULO,Viradouro,150425.203125,8306.20019531
